label,n_days,start,end,years,terminal_wealth,cagr,ann_volatility,sharpe,sortino,max_drawdown,calmar,var_95,var_99,es_95,es_99,best_day,worst_day,positive_days_pct,ann_half_turnover,ann_full_traded_notional,ann_cost_expenditure_bps,series,cost_bps,strategy
ewma_scaled_minvar,4173,2010-01-04,2026-08-06,16.58590006844627,4.055780045048242,0.08808325843064546,0.07540429698945067,0.9575166902812604,1.3750586974862422,-0.1726145340916957,0.5102887708392746,0.007310744256667021,0.01310486163078991,0.01098203514432471,0.017102222337735385,0.03632313636645046,-0.03726898519649746,55.69134914929308,0.9821201419623373,1.9642402839246746,9.821201419623373,net,5.0,ewma_scaled_minvar
regime_minvar,4173,2010-01-04,2026-08-06,16.58590006844627,4.045813501086979,0.08792186151813675,0.07709024902654527,0.936218881382746,1.3416053571717002,-0.17395135953076013,0.5054393466961629,0.007506881821569333,0.01353444107128822,0.011273527571151316,0.017807222142248894,0.03648633593675066,-0.03726936425098715,55.93098490294752,0.541885535043826,1.083771070087652,5.41885535043826,net,5.0,regime_minvar
equal_weight,4173,2010-01-04,2026-08-06,16.58590006844627,6.181014194929341,0.11607842501528998,0.11896022763087057,0.8565868167198655,1.2144092970305103,-0.22801267911377288,0.5090875887536482,0.011484923736399333,0.02029565782356548,0.017589917128765314,0.028548140801706565,0.06647017523039644,-0.0645217924852548,55.66738557392763,0.18881913566106373,0.37763827132212746,3.7763827132212744,net,10.0,equal_weight
static_6040,4173,2010-01-04,2026-08-06,16.58590006844627,4.726756132384694,0.09817330570001848,0.09782416585610966,0.8523843051673974,1.207262431004782,-0.21203895002622997,0.4629965659039252,0.009369272590087418,0.016671873202848093,0.01471297943980935,0.024504528887574536,0.05867238834514188,-0.054217295670861976,55.571531272465855,0.1440242150620842,0.2880484301241684,2.8804843012416836,net,10.0,static_6040
static_minvar,4173,2010-01-04,2026-08-06,16.58590006844627,4.19886088825662,0.09036010557212326,0.08226654381148145,0.9097800155164055,1.3005740505214667,-0.19167659606834575,0.47141960690862716,0.00791500181139153,0.013788834191539541,0.012100703118006595,0.019293858267082353,0.04243329497423565,-0.03864538974561271,55.49964054636952,0.1762738270864729,0.3525476541729458,3.5254765417294576,net,10.0,static_minvar
rolling_lw_minvar,4173,2010-01-04,2026-08-06,16.58590006844627,3.998457696144439,0.08714984595908981,0.07883975833174119,0.9082745644417247,1.2932738394024637,-0.17414099757639545,0.5004556489970564,0.0077200535739937225,0.013480425015281513,0.011608893007232496,0.018744486020670338,0.0401254212075568,-0.040191430350992485,55.8111670261203,0.1693822270101275,0.338764454020255,3.38764454020255,net,10.0,rolling_lw_minvar
ewma_scaled_minvar,4173,2010-01-04,2026-08-06,16.58590006844627,3.9903387905201213,0.08701662577357427,0.07540187067269799,0.944511697679595,1.3555812512705188,-0.17298346592227354,0.503034352500911,0.007318786871419313,0.01310486163078991,0.010985373294359788,0.017102742709306003,0.03632313636645046,-0.03726898519649746,55.66738557392763,0.9821201419623373,1.9642402839246746,19.642402839246746,net,10.0,ewma_scaled_minvar
regime_minvar,4173,2010-01-04,2026-08-06,16.58590006844627,4.009661341108281,0.08733326570804456,0.07708526802693551,0.9292400829835669,1.331158790671872,-0.17443657350697983,0.5006591447667369,0.007506881821569333,0.01353444107128822,0.01127511193950129,0.01780759688912823,0.03648633593675066,-0.03726936425098715,55.93098490294752,0.541885535043826,1.083771070087652,10.83771070087652,net,10.0,regime_minvar
equal_weight,4173,2010-01-04,2026-08-06,16.58590006844627,6.142470834488658,0.11565758093629275,0.11896061131252497,0.8534075349697338,1.2097309304944963,-0.22826779320225443,0.5066749860494576,0.011484923736399333,0.02029565782356548,0.017592126922944477,0.028551145081756834,0.06647017523039644,-0.0645217924852548,55.64342199856218,0.18881913566106373,0.37763827132212746,7.552765426442549,net,20.0,equal_weight
static_6040,4173,2010-01-04,2026-08-06,16.58590006844627,4.704255504001045,0.09785741520805336,0.09782681912208219,0.8494179279509616,1.2028927980952964,-0.2122443284827531,0.4610602125747978,0.009369272590087418,0.016671873202848093,0.014715361948772846,0.024507529066989255,0.05867238834514188,-0.054217295670861976,55.571531272465855,0.1440242150620842,0.2880484301241684,5.760968602483367,net,20.0,static_6040
static_minvar,4173,2010-01-04,2026-08-06,16.58590006844627,4.174412031374408,0.08997626666290626,0.08226491096423384,0.9055076589734681,1.2942431465550368,-0.19191121446142811,0.46884319353307213,0.00791500181139153,0.013788834191539541,0.012101137116446796,0.019293858267082353,0.04243329497423565,-0.03864538974561271,55.49964054636952,0.1762738270864729,0.3525476541729458,7.050953083458915,net,20.0,static_minvar
rolling_lw_minvar,4173,2010-01-04,2026-08-06,16.58590006844627,3.9760832317044152,0.08678209400264114,0.07883857049865876,0.9039874093531921,1.286944401344344,-0.17435875859139438,0.4977214491760229,0.0077200535739937225,0.013480425015281513,0.011609705904950083,0.018744486020670338,0.0401254212075568,-0.040191430350992485,55.8111670261203,0.1693822270101275,0.338764454020255,6.7752890804051,net,20.0,rolling_lw_minvar
ewma_scaled_minvar,4173,2010-01-04,2026-08-06,16.58590006844627,3.862580270104673,0.08488604380027431,0.07540240370247588,0.9184337384886424,1.3165894241136153,-0.1737209556755458,0.4886344509801904,0.0073207428198433615,0.01310486163078991,0.010993578034441003,0.017103783452447244,0.03632313636645046,-0.03726898519649746,55.66738557392763,0.9821201419623373,1.9642402839246746,39.28480567849349,net,20.0,ewma_scaled_minvar
regime_minvar,4173,2010-01-04,2026-08-06,16.58590006844627,3.9383036200025434,0.08615670253497587,0.07707917102345231,0.9152339604776778,1.3102021799550398,-0.1754063379870039,0.4911835200696074,0.007512039714004091,0.01353444107128822,0.01127916567472236,0.017808346382886902,0.03648633593675066,-0.03726936425098715,55.88305775221664,0.541885535043826,1.083771070087652,21.67542140175304,net,20.0,regime_minvar
equal_weight,4173,2010-01-04,2026-08-06,16.58590006844627,6.219792027213936,0.11649934793047456,0.11896044063390004,0.8597618075066601,1.2190776873019329,-0.2277574894187152,0.5115061121713507,0.011484923736399333,0.02029565782356548,0.017587707334586148,0.028545136521656286,0.06647017523039644,-0.0645217924852548,55.66738557392763,,,,gross,,equal_weight
static_6040,4173,2010-01-04,2026-08-06,16.58590006844627,4.7493590295414965,0.09848921244224873,0.09782220325152541,0.8553448050885593,1.211617184420905,-0.2118335246947245,0.4649368535229849,0.009369272590087418,0.016671873202848093,0.014710596930845858,0.02450152870815982,0.05867238834514188,-0.054217295670861976,55.571531272465855,,,,gross,,static_6040
static_minvar,4173,2010-01-04,2026-08-06,16.58590006844627,4.223448057964414,0.09074400366228375,0.08226901771847155,0.9140428588490678,1.306881623867546,-0.19144191699764002,0.4740027946095127,0.00791500181139153,0.013788834191539541,0.012100269119566394,0.019293858267082353,0.04243329497423565,-0.03864538974561271,55.49964054636952,,,,gross,,static_minvar
rolling_lw_minvar,4173,2010-01-04,2026-08-06,16.58590006844627,4.020953480118143,0.08751764755113922,0.0788418130419658,0.9125515576173239,1.2995783307744617,-0.1739231857506922,0.503197127935491,0.0077200535739937225,0.013480425015281513,0.01160808010951491,0.018744486020670338,0.0401254212075568,-0.040191430350992485,55.8111670261203,,,,gross,,rolling_lw_minvar
ewma_scaled_minvar,4173,2010-01-04,2026-08-06,16.58590006844627,4.122285031934793,0.08915078639714036,0.07540851833898643,0.9704977904832637,1.3945228090288673,-0.17224547758406772,0.51757983807516,0.007310744256667021,0.01310486163078991,0.010978744189699286,0.017101701966164767,0.03632313636645057,-0.03726898519649746,55.73927630002397,,,,gross,,ewma_scaled_minvar
regime_minvar,4173,2010-01-04,2026-08-06,16.58590006844627,4.082284834329257,0.08851066688288678,0.0770965180466533,0.9431810454449814,1.3520325468794263,-0.17346592429699792,0.5102481495520939,0.007506881821569333,0.01353444107128822,0.011271943202801341,0.017806847395369557,0.03648633593675066,-0.03726936425098715,56.00287562904386,,,,gross,,regime_minvar
